SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
AAPL,2019-05-23,2718554.0,8920052.0,Thursday,43.23581355098918,43.41375614976533,42.757284602115256,43.2021484375,146118800.0,179.734486747298,179.48279303552042,0.1169862363370093,0.367476713640771,179.276,178.35,182.78,183.23
AAPL,2019-05-24,1091568.0,3460671.0,Friday,43.33198516040847,43.79848992414782,42.95204832879829,43.03621292114258,94858800.0,178.78772648420207,180.24775035617785,0.1894869635908883,0.3283050374438405,178.29,179.42,181.245,181.24
AAPL,2019-05-28,1143124.0,9005231.0,Tuesday,43.02419858026453,43.42577656810654,42.78132911529811,42.8582763671875,111792800.0,178.4178470104634,179.06496623655914,0.1476640277302008,0.4413345666149192,178.01,177.88,179.2386,179.99
AAPL,2019-05-29,1417498.0,3417929.0,Wednesday,42.42303577991815,43.12760347481568,42.32204044189754,42.65388488769531,113924800.0,177.5679728598307,176.26823828187491,0.1818085193566817,0.2805427774037898,177.13,175.5,187.01,178.23
AAPL,2019-05-30,957075.0,2207323.0,Thursday,42.79093459353814,43.09873085644357,42.48313833063271,42.875099182128906,84873600.0,178.2116075577764,178.0616644813278,0.3205989776345508,0.2096404074000118,176.4,177.38,178.5,178.54
AAPL,2019-05-31,1263932.0,6354868.0,Friday,42.377337991615725,42.80056065810064,42.07916238847009,42.0984001159668,108174400.0,175.05489649165256,175.86455351658768,0.0970148319392552,0.5208257209330712,174.77,174.25,178.3,178.3
AAPL,2019-06-03,1435540.0,6118647.0,Monday,42.22585575514875,42.78373529332015,40.944170785501775,41.67278289794922,161584400.0,173.27564674237047,175.67216222437136,0.1875386386681601,0.6910218564199313,173.0,173.07,174.3805,176.5
AAPL,2019-06-04,1320854.0,5447256.0,Tuesday,42.18738475546183,43.24303107756671,41.96615632302049,43.19734191894531,123872000.0,179.84390027860326,175.21412205236,0.3350470056082157,0.5137997165529301,178.87,173.3,181.5,175.84
AAPL,2019-06-05,2433086.0,5040904.0,Wednesday,44.31310005778889,44.48383263192451,43.55803652372878,43.89468765258789,119093600.0,182.5331177672564,183.9429754721077,0.257700075937939,0.7303559974539788,181.22,179.64,182.8911,184.9
AAPL,2019-06-06,774514.0,5140310.0,Thursday,44.02453762991812,44.59925150916613,43.80090223062752,44.53913497924805,90105200.0,185.10301922017376,183.19114052439429,0.1314242763282863,0.2566886734295852,183.8437,182.32,185.33,183.87
AAPL,2019-06-07,1104516.0,4990663.0,Friday,44.84932823041656,46.15025063198151,44.67138567566746,45.72462463378906,122737600.0,190.15825752414847,186.2153570985099,0.1023584638139703,0.4425169936652143,182.46,185.22,190.25,187.6
AAPL,2019-06-10,1523132.0,3412364.0,Monday,46.12380004462165,46.97985873625351,46.07811090053658,46.3089599609375,104883600.0,192.71886129401665,192.24101702904565,0.0969301167516221,0.5658588387052552,192.36,190.15,193.6406,193.86
AAPL,2019-06-11,1142045.0,5316327.0,Tuesday,46.85722743928427,47.13135866433859,46.554241454504776,46.8452033996582,107731600.0,194.7521414280536,194.74678628624025,0.0775380235965529,0.2860744865633971,192.58,192.58,195.073,195.38
